objectId,id,MJD,FLT,FLUXCAL,FLUXCALERR
ZTF18acaqdaa,670093650115015005,58911.5154281999,r,788.3516846223597,183.64211858355276
ZTF18acaqdaa,670093650115015005,58911.535520799924,g,874.8524250436359,172.10667811231272
ZTF18acaqdaa,670093650115015005,58914.464513900224,g,839.9240174563429,172.42364843442158
ZTF18acaqdaa,670093650115015005,58936.492071799934,g,840.8722105588072,132.0777927632123
ZTF18acaqdaa,670093650115015005,58936.50978010008,r,723.0361308945274,166.34149764858924
ZTF18acaqdaa,670093650115015005,58943.4451156999,g,903.150236525545,205.16654377163584
ZTF18acaqdaa,670093650115015005,58964.38435189985,g,773.1732143311937,126.79867637769406
ZTF18acaqdaa,670093650115015005,58964.42510419991,r,748.7209753174805,163.0106222532796
ZTF18acaqdaa,670093650115015005,58967.43391200015,g,817.5433682931271,152.5745770192936
ZTF18acaqdaa,670093650115015005,58968.39478009986,r,669.083006925213,136.49661467077306
ZTF18acaqdaa,670093650115015005,58970.4464699002,g,793.5567680739105,122.75337144115136
ZTF18acaqdaa,670093650115015005,58973.465138900094,g,778.6100408118515,183.7687780410161
ZTF18acaqdaa,670093650115015005,58983.36305559985,r,706.8381800518741,159.88851939946417
ZTF18acaqdaa,670093650115015005,58984.40863429988,r,624.6546827063,130.54609571247406
ZTF18acaqdaa,670093650115015005,58985.422974499874,g,703.9464125121827,126.40879817781432
ZTF18acaqdaa,670093650115015005,58986.30752310017,r,756.3451040833403,144.2672326474517
ZTF18acaqdaa,670093650115015005,58987.410196799785,g,874.166179265024,121.67655504344924
ZTF18acaqdaa,670093650115015005,58991.32064810023,g,863.4197926355934,147.66684505294884
ZTF18acaqdaa,670093650115015005,58992.308263900224,r,606.7922146431829,146.721337938638
ZTF18acaqdaa,670093650115015005,58992.332025500014,g,910.4866870241473,173.88396448617144
ZTF18acaqdaa,670093650115015005,58994.41313660005,g,799.3923723711727,162.73660379798147
ZTF18acaqdaa,670093650115015005,58995.3229398001,g,765.4062426379465,129.47592600174013
ZTF18acaqdaa,670093650115015005,58996.33005789993,g,769.6945297108574,120.81812773739887
ZTF18acaqdaa,670093650115015005,58997.38546299981,g,735.3884422721935,136.95359180740482
ZTF18acaqdaa,670093650115015005,58998.36402780004,g,822.6774628042782,144.3522924178977
ZTF18acaqdaa,670093650115015005,58999.4019559999,g,747.9628021962275,153.97665909125737
ZTF18acaqdaa,670093650115015005,59011.27969910018,g,836.4500279309303,172.1388332767915
ZTF18acaqdaa,670093650115015005,59012.31299770018,g,814.4551991410023,130.30089028542122
ZTF18acaqdaa,670093650115015005,59013.314999999944,r,697.3968798290284,154.23420855981473
ZTF18acaqdaa,670093650115015005,59014.26158560021,r,618.0164001384138,132.39247413138926
ZTF18acaqdaa,670093650115015005,59015.3120833002,g,717.183682745019,123.40350100539315
ZTF18acaqdaa,670093650115015005,59015.31804399984,r,621.4983786469097,155.43306466115894
ZTF18acaqdaa,670093650115015005,59017.29060189985,r,665.2731562017419,148.5452507996321
ZTF18acaqdaa,670093650115015005,59018.339826399926,g,742.4253630218869,138.0890322254991
ZTF18acaqdaa,670093650115015005,59020.22377309995,g,696.3083448929497,139.06012965889997
ZTF18acaqdaa,670093650115015005,59022.25346060004,r,559.3453087651715,140.83429925392934
ZTF18acaqdaa,670093650115015005,59022.34347219998,g,711.7744591372661,116.17015902305928
ZTF18acaqdaa,670093650115015005,59023.29837960005,r,584.3593535932763,134.8320685220534
ZTF18acaqdaa,670093650115015005,59023.320763899945,g,640.7963067304299,138.49412737849661
ZTF18acaqdaa,670093650115015005,59024.28943290003,g,790.1690229445263,159.4623604854498
ZTF18acaqdaa,670093650115015005,59025.24969909992,g,644.7034585263949,141.49582741438098
ZTF18acaqdaa,670093650115015005,59026.36467589997,g,751.6228940182044,138.6218553061135
ZTF18acaqdaa,670093650115015005,59027.238286999986,g,713.1157032714347,164.61946090474328
ZTF18acaqdaa,670093650115015005,59028.23221059982,r,705.082604371219,195.9496805472402
ZTF18acaqdaa,670093650115015005,59028.338113400154,g,659.2461466734169,120.48311788454167
ZTF18acaqdaa,670093650115015005,59030.35008100001,g,783.7183220863365,174.87745991774702
ZTF18acaqdaa,670093650115015005,59031.1936458,g,773.3213492404062,222.2786510668111
ZTF18acaqdaa,670093650115015005,59032.393113399856,g,811.633567010465,277.6709882448677
ZTF18acaqdaa,670093650115015005,59041.2256713002,g,736.6696877307871,126.5662869322465
ZTF18acaqdaa,670093650115015005,59044.32635420002,g,715.2205758751999,157.30979671762978
ZTF18acaqdaa,670093650115015005,59047.25677079987,g,716.8693295808067,156.92501718875184
ZTF18acaqdaa,670093650115015005,59050.27800930012,r,650.3093526352296,138.51311002169456
ZTF18acaqdaa,670093650115015005,59053.340104199946,g,668.2534352720367,113.28004570651899
ZTF18acaqdaa,670093650115015005,59056.27552080015,g,758.7271063791306,136.87376107985557
ZTF18acaqdaa,670093650115015005,59074.22821759991,g,705.9273365888935,165.11671868564923
ZTF18acaqdaa,670093650115015005,59099.16344910022,g,696.3865907786577,131.89131684819574
ZTF18acaqdaa,670093650115015005,59316.37028940022,g,613.1969697156818,131.25048149888076
ZTF18acaqdaa,670093650115015005,59319.43024310004,g,601.5614534868645,146.38736780941343
ZTF18acaqdaa,670093650115015005,59322.42631939985,g,655.3601046903847,158.44022366779555
ZTF18acaqdaa,670093650115015005,59336.44510419993,g,600.5096627627418,187.02912379053677
ZTF18acaqdaa,670093650115015005,59343.39445600007,g,470.53853934031423,88.10968709449806
ZTF18acaqdaa,670093650115015005,59356.42909719981,g,676.7682874665583,168.04087655423896
ZTF18acaqdaa,670093650115015005,59364.361273100134,g,651.988596737674,193.5670992951454
ZTF18acaqdaa,670093650115015005,59366.30849540001,g,597.0902780982861,133.103288110823
ZTF18acaqdaa,670093650115015005,59370.39123839978,g,562.62004353894,101.80284083484476
ZTF18acaqdaa,670093650115015005,59376.361944399774,g,726.080544684416,139.25479539213677
ZTF18acpdvos,707460030515010001,58461.46003470011,g,8060.997751265852,428.437178252241
ZTF18acpdvos,707460030515010001,58464.467164400034,g,10053.37772148574,421.7601312588161
ZTF18acpdvos,707460030515010001,58467.47744210018,g,10898.76278175649,835.8963446133806
ZTF18acpdvos,707460030515010001,58482.517210599966,g,14974.529991863044,518.9348089412141
ZTF18acpdvos,707460030515010001,58491.4574190001,g,17142.47796917797,628.9635496398193
ZTF18acpdvos,707460030515010001,58494.4637616002,g,16337.83102387004,560.9347113202894
ZTF18acpdvos,707460030515010001,58513.37876159977,g,22857.9669268523,1530.521710765661
ZTF18acpdvos,707460030515010001,58523.422870399896,g,17725.561442845945,4218.715215044962
ZTF18acpdvos,707460030515010001,58538.275891200174,g,21717.00843347988,1021.3310218841958
ZTF18acpdvos,707460030515010001,58540.262905099895,r,5514.432181767549,446.40882680670825
ZTF18acpdvos,707460030515010001,58541.25577550009,g,21536.26566970433,721.8941873621693
ZTF18acpdvos,707460030515010001,58558.18651620019,r,3682.846347689371,455.03431976236254
ZTF18acpdvos,707460030515010001,58559.20484950021,r,4091.494766508753,461.5007135998362
ZTF18acpdvos,707460030515010001,58567.208368100226,g,23200.000807127766,654.5537409287136
