candid,dec,fid,jd,magpsf,objectId,ra,sigmapsf
1776497690515010019,1.6927846999999998,1,2459530.9976968,16.468529,ZTF18acpdvos,151.7119755,0.034818485
1775391053915010000,34.2621791,1,2459529.8910532,20.026821,ZTF18aabtxvd,119.2271588,0.1612248
1775390110015010002,45.5921957,1,2459529.8901157,19.091818,ZTF18aahqkbt,123.8609318,0.10148064
1775364140015010000,45.5921295,2,2459529.8641435,19.892597,ZTF18aahqkbt,123.8607583,0.2014524
1772453240015010000,45.5922073,1,2459526.9532407,19.120659,ZTF18aahqkbt,123.8609355,0.06759071
1772449933915010000,34.2621005,1,2459526.9499306,19.898394,ZTF18aabtxvd,119.2272845,0.16540481
1771482970515010020,1.6927862,1,2459525.9829745,16.50763,ZTF18acpdvos,151.7119993,0.030450195000000003
1770519393915010000,34.2620954,1,2459525.0193981,19.996723,ZTF18aabtxvd,119.2272665,0.123735115
1770347600015010000,45.5922059,1,2459524.8476042,19.19201,ZTF18aahqkbt,123.860889,0.09031232
1768455503915010000,34.2621044,1,2459522.9555093,19.948746,ZTF18aabtxvd,119.2272932,0.17732409999999998
1768370450015010000,45.5922035,1,2459522.8704514,19.221073,ZTF18aahqkbt,123.8609838,0.10087842500000001
1764361403915010000,34.2621214,1,2459518.8614005,20.050907,ZTF18aabtxvd,119.2272905,0.14081182
1764346950015010000,45.5922336,1,2459518.846956,19.175175,ZTF18aahqkbt,123.8608618,0.09928203000000001
1755514670515010005,1.6927894,1,2459510.0146759,16.478968,ZTF18acpdvos,151.711991,0.034681816000000004
1755426510015010000,45.5921938,1,2459509.9265162,19.126415,ZTF18aahqkbt,123.8609267,0.16629549999999998
1749476460015010000,45.592182,1,2459503.9764699,19.046799,ZTF18aahqkbt,123.8608537,0.09665277
1749468193915010000,34.2621456,1,2459503.9681944,20.086336,ZTF18aabtxvd,119.2272659,0.17146161000000001
1746475993915010000,34.2621029,1,2459500.9759954,19.887655,ZTF18aabtxvd,119.2273092,0.16952209000000001
1746447240015010000,45.5922048,1,2459500.9472454,19.173147,ZTF18aahqkbt,123.8608425,0.14318739
1742387310015010000,45.5922165,1,2459496.8873148,19.212753,ZTF18aahqkbt,123.8609591,0.120602235
