d:snn_sn_vs_all,d:snn_snia_vs_nonia,candid,dec,fid,jd,magpsf,objectId,ra,sigmapsf
0.0093218116,0.8289737701000001,1311184402315015003,25.0012788,2,2459065.6844097,19.556316,ZTF20abefeab,235.0637026,0.17859419
0.6903250813,0.6582228541,1310462683915015002,-9.6140112,1,2459064.9626852,18.971539,ZTF20abowque,34.4750137,0.19475052
0.8264137506,0.8594033718,1310416120815015003,85.0087969,2,2459064.9161227,18.518475,ZTF20abfcszi,7.8062233,0.08043362
0.0104396865,0.9064502716,1310415634115015001,85.008788,2,2459064.9156366,18.250546,ZTF20abfcszi,7.8063338,0.08065496
0.5549208522,0.8137670755,1309429734115015001,85.0087841,1,2459063.9297338,18.27396,ZTF20abfcszi,7.8066903,0.11114386
0.6347982883000001,0.8222910762000001,1309429250815015008,85.00883,1,2459063.9292593,18.292955,ZTF20abfcszi,7.8064641,0.098135866
0.007294999900000001,0.7087809443,1309237030915015003,23.37242,1,2459063.737037,18.974178,ZTF20abjwvae,239.1072309,0.12486637
0.3726884723,0.8644308448,1309181740915015004,23.3724303,2,2459063.6817477,19.34324,ZTF20abjwvae,239.1072104,0.17110568
0.0659074113,0.8101149797,1309181282315015004,25.0014068,2,2459063.6812847,19.866081,ZTF20abefeab,235.0636937,0.1851367
0.0747405589,0.7283648252,1308226882315015001,25.0013706,2,2459062.7268866,19.791462,ZTF20abefeab,235.0636321,0.21335642
0.0965583175,0.6757680774,1308207072315015004,25.0013293,1,2459062.7070718,19.556246,ZTF20abefeab,235.0637264,0.18729337000000001
0.1098188981,0.8996468782,1303468634115015006,85.0088726,2,2459057.9686343,18.56167,ZTF20abfcszi,7.8065063,0.07906255
0.39070031050000004,0.9012165070000001,1303407180815015007,85.0087898,1,2459057.9071875,18.37209,ZTF20abfcszi,7.8061504,0.054434627000000006
0.24470430610000002,0.8782392144000001,1303406704115015002,85.0088426,1,2459057.9067014,18.344425,ZTF20abfcszi,7.8068809,0.06973863400000001
0.4825328887,0.8972199559,1303359710815015001,85.0088366,2,2459057.8597106,18.477821,ZTF20abfcszi,7.8063936,0.0611001
0.14370340110000002,0.7987765074000001,1303257100915015004,23.3724495,1,2459057.7571065,18.971497,ZTF20abjwvae,239.1072307,0.07446433
0.1578554362,0.7190644741000001,1303246572315015004,25.0013108,1,2459057.7465741,19.606585,ZTF20abefeab,235.0637067,0.13637158
0.5032739639,0.7363472581,1303175282315015002,25.0013791,2,2459057.6752894,19.812523,ZTF20abefeab,235.0636377,0.16464199000000002
0.48719668390000004,0.8139898181,1303173860915015011,23.3724044,2,2459057.6738657,19.169271,ZTF20abjwvae,239.1072121,0.11602142500000001
0.2874155343,0.8879910111,1300451904115015001,85.0088252,1,2459054.9519097,18.430805,ZTF20abfcszi,7.8065008,0.057547588000000004
0.8195224404,0.8904382586,1300451430815015004,85.0088184,1,2459054.9514352,18.467806,ZTF20abfcszi,7.8064191,0.056491733
