objId,alertId,type,nb_points,norm,ref_time,amplitude,rise_time,temperature,r_chisq,err_ref_time,err_amplitude,err_rise_time,err_temperature,std_flux_g,std_flux_r,std_snr_g,std_snr_r,data_origin
ZTF20abvqilf,1360312472715015019,SN Ia,18,7523.8419985915125,2458787.0571145033,1.0308328147672703,34.43866461906594,9399.969485199159,11.798848458814799,525.1639974595772,0.05786857035585705,248.89058588794512,509.2864198692605,0.09376575712089155,0.1896115786290105,1.5057031612570266,2.8648222157179175,tns
ZTF20abvquuo,1336509155515015009,SN Ib,8,3958.935536498162,2459085.0004042974,1.5705659053199985,2.749160336749946,6674.346538018618,0.2061193548209831,0.8725773876239948,0.19439948257313602,0.7113746975454199,460.7424668944218,0.19023474565073692,0.24543035348346215,3.007254282912442,3.101321974982897,tns
ZTF20abvtozi,1338383784615015009,SN Ia,38,6714.837736805116,2459088.2409304725,1.901369819106578,2.097314613548072,9028.374873540326,0.4733847960449405,0.2629727169960731,0.10884518500022144,0.12673581578854112,314.36511890245583,0.29583712177977567,0.27320048815610454,4.26461325288901,6.02795684689562,tns
ZTF20abvvnqh,1338229381015015009,SN Ic,9,2712.955611212901,2459084.477744345,1.4159921037747607,3.0050310742592274,6994.314256858787,0.7358909299466934,1.2140286071094535,0.2065682244518676,1.126307284968871,706.6333431240973,0.10164978956598927,0.2666256547072163,1.0620680405722802,1.5965918391171297,tns
ZTF20abwdwoa,1335327562715015011,SN Ia,9,1994.0954436299482,2459086.215668055,2.4802262370329586,3.3528602078169096,9807.882405622822,0.3035540802454406,2.838050069914396,1.0814332384901248,1.280641071821882,1393.112715401905,0.2593815796561087,0.21064672538802803,2.0131706328496226,2.545234329645383,tns
ZTF20abweedo,1338303051015015008,SN Ia,13,5922.0854617241785,2459089.762772098,2.244203843084634,2.3199933523355774,7536.377767485878,0.27100314639131806,0.827166579250824,0.3548780996162767,0.3292655367155176,399.905900325889,0.21866922797218613,0.25861779636392845,2.9569671713889076,4.905480076405443,tns
ZTF20abwyyjc,1336448574015015016,SN Ia,8,2877.7751246377375,2459075.175475981,1.3923368750940792,3.347029010882535,6780.8425978236455,0.07555737322471356,2.1704005704153086,0.08393983250834958,1.7242067966226238,565.2045550647717,0.2499632281477577,0.3481490554688605,3.277042897685448,4.575309497305334,tns
ZTF20abwzqzo,1364310992315015002,SN IIb,27,7259.058219017593,2459092.2311156928,0.8858396482773995,1.940707970681185,4756.557744716944,11.004889188726755,0.2689761646085846,0.034001703075093516,0.24652030678605064,156.2397597368922,0.07359661217984163,0.20094275688728744,1.9330787974870502,5.171180229072371,tns
ZTF20abxlham,1345159233915015002,SN Ia,7,3562.955968574144,2459092.4630062357,2.174996453901055,2.482946613984961,10433.014730769833,0.04800025334157192,0.9822104394211462,0.41951077127878844,2.192209654989257,1844.134703722756,0.12974831719084687,0.06703700640675724,2.881096897994546,1.8768001937818883,tns
ZTF20abxmwwd,1365243611515015016,SN IIP,51,3062.5287166738217,2459091.509068069,1.1915564512707064,0.773949948888304,6687.429574171304,2.388562672747392,0.08217018368276609,0.015612589868743162,0.09540155335676649,175.21561377517446,0.1697941309490124,0.18141372487590243,2.5670496666038876,3.399247897660734,tns
