,objId,alertId,type,norm,ref_time,amplitude,rise_time,temperature,r_chisq,err_ref_time,err_amplitude,err_rise_time,err_temperature,std_flux_g,std_flux_r,std_snr_g,std_snr_r,sigmoid_dist,snr_rise_time,snr_amplitude,Fvar,nb_points,data_origin
1673,ZTF18aaotkyk,1619223870515010005,Seyfert_1,11495.965424046515,2459252.4820095464,3.1529390841032514,63.90340625093421,10390.25058880343,1.5383483903609063,21.03225316458737,0.5029559690199309,9.883631096323622,283.1532266529466,0.1901448906033547,0.1534706829725912,5.282205225102046,5.033472226218661,0.6939688281969331,6.465579869194443,6.268817308694289,0.2262185674505118,52.0,extragal
1354,ZTF18adjceef,1956441943915015003,Unknown,16509.062561453902,2460065.5968180965,5.517214126363842,23.320203603852782,15387.47470962167,2.64219339984939,11.549812536337887,3.226494273771161,3.93690069029816,3747.133404457535,0.244655563034874,0.3072161021061154,5.473613901187741,6.0414768156022935,1.4271879598074293,5.923492980486292,1.7099717706658943,0.5083441102361073,6.0,extragal
776,ZTF24aahuulq,2675181491715015021,SN candidate,6261.915075356228,2460400.9920232827,2.106228669788635,2.4148927698748466,11016.452801525147,0.4607414956269712,0.799177770924763,0.5126164825234617,0.4677007026640216,1569.0901267225918,0.1095904485966079,0.2871971191245705,3.2980089400489763,5.699743044152348,3.209281883646808,5.163329360250318,4.108780621762851,0.0,5.0,extragal
1462,ZTF18absclqz,2215183964515010014,Unknown,95594.72573528184,2459058.1036992343,2.048350352349181,2.814651814095459,10428.703327370737,37.24392773864071,0.300415833621117,0.1364575310303363,0.1605323502193694,391.21622187405865,0.2881868256006928,0.1872505235979867,52.58292339988234,8.845709971280884,2.774734632052837,17.533237445594,15.01089999857762,0.389623170222017,8.0,extragal
2128,ZTF24aacluoy,2573469215615015011,SN candidate,3609.713417063176,2460327.643596004,2.010049055877373,2.412002993839637,10105.363220754693,1.3944396830339718,0.4664922090109924,0.3936612032110376,0.7882175228237395,1601.554846222587,0.1867916645342131,0.2936793011805342,0.1363676345402833,2.199648301011349,5.497079991103482,3.060072789550261,5.106037982614727,0.0,5.0,extragal
2074,ZTF24aakfchb,2679187806015015003,SN candidate,16948.405345829087,2460421.07353118,3.3237135881661453,0.5992747254058887,14928.080776166951,0.3127107059326036,0.1414726613744089,1.116225302605349,0.0618079404672791,3014.7727280372583,0.3838468836125247,0.0153178500098101,6.4083501676225305,1.404286185789477,6.182027311930438,9.695756255187666,2.97763684482726,0.0,5.0,extragal
2220,ZTF18abbdjmf,2499192805615010003,Unknown,18206.15125325276,2459739.825251951,3.88669376222487,0.6655992163500337,10558.194885389064,58.57371477219913,0.4050534268347191,1.1652144517050214,0.0764512043255185,1647.1259385046233,0.4190447650640116,0.2704208113998114,10.313566987020955,1.2194336933672218,0.1784669308511417,8.706196615503995,3.335603807983667,0.8571086288253603,5.0,extragal
2682,ZTF24aahsmkt,2659267596015015021,SN candidate,6919.83927936235,2460396.12985574,2.0855903298543645,1.5784065328070744,10335.240179045815,0.7536307663583613,0.3119017124497751,0.2394209394965247,0.3372407173993428,903.3458806445932,0.0580843158628858,0.2261461899933123,1.2894240352340989,4.028640818015575,7.986851421519194,4.680355755909534,8.710977136085615,0.0,6.0,extragal
437,ZTF24aaidlza,2649278555415015004,SN candidate,19491.87264926877,2460408.8502711672,2.7355492382352,2.3379290768756187,13301.61571255952,0.4080917915304875,0.2297706341134714,0.3907349665840653,0.1938257120693921,1102.4697277548876,0.3629128922130363,0.2456022760262947,7.624300126077069,7.532950755271964,5.511429264625782,12.06201722111362,7.00103515728392,0.0,6.0,extragal
3100,ZTF18aakgpni,2470144715215015024,Unknown,11962.625023898,2459408.188478905,8.811408540437794,25.99323203842541,22178.62763808591,45.33536653577778,6.343967883821236,2.6784667496346937,2.5729248935008666,3352.0890627107874,0.2025564324579705,0.2774110402006455,3.319278652333475,6.079540610504024,1.3684101670006368,10.102600392294216,3.289721084512081,0.4702948055786182,12.0,extragal
