,amplitude,rise_time,temperature,r_chisq,sigmoid_dist,snr_rise_time,snr_amplitude,objectId,alertId,type,predicted_label
5633,31238.80855225987,4.668863462276277,12201.495792700522,0.4817849796726806,2.4994165918309674,2.567719537581672,5.118739968267002,ZTF22aadolze,1936471635415015014,SN candidate,TDE
5859,24185.361511960145,5.578150866604286,20378.55853998637,1.4911841135861836,1.1102460121851911,1.7529328821658687,1.880005034086467,ZTF22abjobnk,2112262811415015009,SN candidate,TDE
5904,14085.94454568712,8.200099172573845,12347.756022347025,0.5486855624387189,1.3562994744431447,1.9289323773444147,2.98200264514938,ZTF21aafkpnp,1496384893215015012,Unknown,TDE
5950,15459.17556950005,7.526578470936079,20855.85732701497,0.2146431310980651,3.283640395892243,2.552520206552165,1.8863299419325417,ZTF23aamholg,2362198913615015010,SN candidate,TDE
5951,13236.709330330466,7.015206847200613,19724.54618930121,0.2629144174234556,2.6011413444175595,2.2731794941994616,1.766465657839028,ZTF23aamholg,2372204323615015006,SN candidate,TDE
6100,5441.848757754041,5.512831613209943,7868.492056225114,0.3542456115783056,6.0949469688329945,2.154682054662357,10.13775695451126,ZTF21abaxaqq,1688320126115015020,Unknown,TDE
6101,11300.62557766928,5.51066172738967,3205.258297659568,0.3750836319150204,1.7499896302543403,2.387971633185321,3.1343352960253035,ZTF21abaxaqq,1673369024815015005,Unknown,TDE
6102,5341.52630345496,5.395369180230012,7820.746903754652,0.3920146030217933,1.8156291798492927,2.385667334039669,3.0659782272721308,ZTF21abaxaqq,2322482384815015004,Unknown,TDE
6103,5920.196508848462,6.139025337033502,8017.549038594891,0.241352185997271,1.2663276930564522,1.9657054764300932,2.2865892755638995,ZTF21abaxaqq,2334466216115015015,Unknown,TDE
6104,6236.84940978929,6.53510384689673,7955.1049931302205,0.2308070361968082,0.9142754919299788,1.793573545932912,1.7689756072169902,ZTF21abaxaqq,2329475204815015009,Unknown,TDE
6105,6969.776866323728,7.760198729266858,6301.856487294369,0.1801021028559186,0.3066398873633722,2.499305485392085,1.703734611172796,ZTF21abaxaqq,2328472934815015007,Unknown,TDE
6190,23503.58226318777,1.5114904411300107,14765.872942488411,0.0039007842395394,7.458049274456435,6.311738066101991,4.278024714196259,ZTF20abgwfek,1289190935515015016,SN candidate,TDE
6191,23497.617586784763,1.513991979377276,14758.072886859238,0.0057546251925374,3.492871495850811,5.249319662916817,4.0283219392800245,ZTF20abgwfek,1280195055515015003,SN candidate,TDE
6192,23712.22396617866,1.5057292865078973,14854.061538735736,0.0089536486489029,3.5109392691244854,4.523720473712307,3.403553611306495,ZTF20abgwfek,1268199405515015014,SN candidate,TDE
6340,9803.904240755455,12.499698334142344,19095.593111906124,0.3481224821075105,2.9383555532183503,1.7989293205214074,2.228407767679558,ZTF21aabgjcz,1537281871515015015,Unknown,TDE
6341,9579.509784336737,12.264018730886464,18936.486228397283,0.363988127642862,2.996790938943586,1.824546517140014,2.253771264589682,ZTF21aabgjcz,1614187505715015001,Unknown,TDE
6390,12410.063077866937,15.21735894874189,14972.090870211034,0.7190833536940792,3.61743179978606,6.786495090848058,6.769858171617378,ZTF18aamfryk,1563399526215015010,Seyfert_1,TDE
6391,12526.854784991276,14.982007440740924,15095.410979458267,0.7153565276977348,3.680799041736848,6.839773647368153,6.670567060765055,ZTF18aamfryk,1553381715115015007,Seyfert_1,TDE
6392,12381.70229342812,12.490698874298388,15248.573147609774,1.7765305196846837,4.155754451312516,9.187881013428482,6.461676280704745,ZTF18aamfryk,1553381715115015007,Seyfert_1,TDE
6393,11630.470607095816,12.039655635778294,14858.950642949412,1.7143989470326,4.349291326156783,9.112448786172322,6.783211874806903,ZTF18aamfryk,2306330395115010005,Seyfert_1,TDE
6394,12078.6365491313,11.9614325232037,15191.188606487854,1.8638844433066248,4.049209393869582,8.597789940550058,5.977904820429135,ZTF18aamfryk,2306407545115010008,Seyfert_1,TDE
6395,12062.85263362354,11.971306009131697,15177.302571184293,1.9142056792980784,3.878782933076797,8.531050622251666,5.940959778902181,ZTF18aamfryk,1495446335115015005,Seyfert_1,TDE
6396,11924.91829877133,11.894628763671117,15106.362968842475,1.9662664149032565,3.909405350069679,8.214498057863945,5.596672847547866,ZTF18aamfryk,1654190465115015004,Seyfert_1,TDE
6397,12111.633094389636,11.726837692128736,15290.070858805351,2.006365570783488,3.897690805784448,8.169842503677458,5.439420908378684,ZTF18aamfryk,1210357516215015009,Seyfert_1,TDE
6398,11952.373698163476,11.643457287292083,15206.397170255072,2.0633106301246245,3.765151531626622,7.898917400838256,5.246262787635811,ZTF18aamfryk,1311190905115015004,Seyfert_1,TDE
6399,13159.383239662578,9.95489393544288,16648.781489766694,2.2468082370078037,3.9256597390566568,6.888853410053295,3.675062270349674,ZTF18aamfryk,1516426436215015006,Seyfert_1,TDE
6400,14596.84154884366,9.556027048944976,17725.039621414493,2.1632145155984706,3.7271411632444913,6.8995506377986855,3.183142702814429,ZTF18aamfryk,1449515545115015003,Seyfert_1,TDE
6401,14102.860955975044,9.152464947417348,17600.84048371174,2.2709376154017247,3.8683489870858137,6.701957571286282,3.145738544172914,ZTF18aamfryk,2748330866215010003,Seyfert_1,TDE
6402,12874.434281211628,8.77254172570346,16957.422482416,2.326144304443031,4.094633439410955,6.3790607884099,3.185520004376064,ZTF18aamfryk,2770226086215010001,Seyfert_1,TDE
6403,14493.46974655975,8.525893303386656,18129.47095607093,2.316606206285243,4.139837074460509,6.341824655580258,2.749611277718578,ZTF18aamfryk,2734232525115010001,Seyfert_1,TDE
6404,15310.475432745425,8.437107594615547,18672.058548392688,2.415214669361243,4.194188722269606,6.2948411718768496,2.5386377022626667,ZTF18aamfryk,1522441996215015002,Seyfert_1,TDE
6405,14234.44911744767,8.153966707508856,18134.45068432935,2.501171185225304,4.396463266202551,6.019986990656269,2.5773492153339297,ZTF18aamfryk,1499526405115015006,Seyfert_1,TDE
6406,14606.329141478773,8.259279395199524,18323.29865463587,2.628668646940711,4.216367376452464,5.847805090787564,2.4961592555687564,ZTF18aamfryk,2538558026215010003,Seyfert_1,TDE
6407,14369.697543681352,8.196607880790935,18202.61664179303,2.772904689466545,3.892968964056264,5.6822656468204364,2.484072841454086,ZTF18aamfryk,2307365746215010000,Seyfert_1,TDE
6408,14908.02508013428,8.161738812042882,18557.456446256318,2.924916078699818,3.666559698658949,5.636251347195276,2.2842772022813835,ZTF18aamfryk,1869499895115015004,Seyfert_1,TDE
6409,15377.450456614257,8.123233555894785,18864.802824899263,3.099225007796584,3.6823740255850015,5.645425882743467,2.252366910705314,ZTF18aamfryk,2601463866215010003,Seyfert_1,TDE
6410,15309.098015856574,8.108354307710462,18831.02352131372,3.3057072036595687,3.582198846564177,5.5089081041019154,2.223285055104486,ZTF18aamfryk,2601481515115010006,Seyfert_1,TDE
6411,15788.944286640271,8.081364635774333,19134.655897151893,3.537677452224785,3.5890178830778425,5.496425161655362,2.12489027343845,ZTF18aamfryk,2599524835115010007,Seyfert_1,TDE
6412,14893.328731972031,7.894360937133019,18690.418025506304,3.782871709897561,3.60750856480712,5.278048880063983,2.12101486054414,ZTF18aamfryk,2278381495115010005,Seyfert_1,TDE
6625,237859.4048427333,17.198589858398645,12269.85485219121,0.5917984577249934,5.92654348537998,2.653026504529646,10.26832529190374,ZTF18acvgvir,2182495980115010014,BLLac,TDE
6792,55525.67088079249,6.9297897594617375,12611.540440268778,1.854015509213948,2.9018920871009333,2.0591129455431303,3.6349916232423287,ZTF18aasvvct,2168450761915015003,Unknown,TDE
7000,92623.73992289676,4.921649124761358,20130.331705536493,5.927538218345112,0.2411909246147127,4.2303937253009165,6.205820662987909,ZTF18aabdajx,1874422994015015000,Unknown,TDE
7108,63204.645650705104,12.623664166638624,13132.869219546916,1.760919768147342,1.0379047845262943,16.843414715618145,10.42672482038462,ZTF18abxnvoz,2777369495715015011,SN candidate,TDE
7109,64072.86950149465,12.968168273700025,12855.953725848667,1.7582518320849496,0.9116653647722766,15.709735818420778,10.253642631513667,ZTF18abxnvoz,2812361515715015015,SN candidate,TDE
7189,19141.97178631624,4.93744079154706,11509.387969635303,1.0590364309237037,2.1782627336143534,2.6623373778353465,4.146844190100932,ZTF23abndank,2497130391215015015,SN candidate,TDE
7388,5658.582459527087,4.911363630298693,11906.852533298188,0.2183008455693238,2.8914154493794904,3.1652077190077827,3.781081406563987,ZTF21abzbwfo,1718394602615015005,SN candidate,TDE
7586,20261.05989573133,9.11756934424897,12189.494434941647,0.4042875490373365,3.0392789481258307,11.98886254154354,9.35788847413815,ZTF21aaokvio,1594248713715015009,SN candidate,TDE
7587,20239.60870199189,9.12500021243103,12174.988789550029,0.4311260308206043,2.8181027214516736,11.667191715844456,9.143253684596878,ZTF21aaokvio,1536252893715015006,SN candidate,TDE
7588,21247.708168765883,8.873841454666596,12785.284642611114,0.4277728892161084,2.9632054321871077,10.578095389392038,6.912020794463164,ZTF21aaokvio,1580167893715015006,SN candidate,TDE
7589,21437.12313621797,9.068746944761234,12711.898226071731,0.4029571899812015,2.6326899527413303,10.096518288685443,7.02753183480141,ZTF21aaokvio,1570210673715015003,SN candidate,TDE
7590,21568.575412180235,9.151063785372424,12694.507339008242,0.4301393851963238,2.261302698831593,9.45583169016526,6.989242638104919,ZTF21aaokvio,1553153693715015006,SN candidate,TDE
7591,22128.089135889517,9.40979150990474,12666.470783593424,0.4282003678943856,1.92141217980717,8.637937588672061,6.774807149734773,ZTF21aaokvio,1566169903715015004,SN candidate,TDE
7592,23645.56704175304,9.933531397347169,12679.365092016693,0.33895444052067,1.4803276734610595,7.689781719073781,6.191651722931653,ZTF21aaokvio,1590189803715015004,SN candidate,TDE
