id,type,reference_time,amplitude,rise_time,temperature,r_chisq,err_reference_time,err_amplitude,err_rise_time,err_temperature
ZTF20abxkwbi,SN II,2459114.7747100806,687752948031835.0,3.2758745708794508,5219.5826566663445,0.0019933547071662346,42.73387679968627,2.201415580044734,16.076611910623974,713.1178750461077
ZTF20abxlham,SN Ia,2459092.4631735296,1050536345910913.5,2.479584764693104,10438.32116620957,0.0479989540438479,0.518407790921212,3.4677326364187318,1.1567853375574964,1844.150750357545
ZTF20abxmwwd,SN IIP,2459091.1650848896,2156580012016223.5,0.49512805648669395,17267.366274389267,0.7110740316950096,0.48074112963458643,22.187789154137306,0.5151138631694815,9482.286122637783
ZTF20abxpzxg,SN Ia,2459092.2360778875,686127753914140.5,2.4337006387277933,8211.35866199724,0.6386651491444192,0.12345146180223648,0.6556629192233991,0.07827808595001051,898.402296393755
ZTF20abxtiyh,SN Ia,2459070.2917484436,653633140907672.8,1.609625236103985,4668.398625679007,5.959236049159731,33.94253054627593,0.6067960781593955,23.229955026592116,260.2066594151929
ZTF20abxyggc,SN Ia,2459123.72061901,735223563790890.8,0.06199651969219827,4529.15270322027,0.5466295248876374,43.08591520633047,0.3001064160515594,23.143589564370885,139.85505424005441
ZTF20abxyifx,SN II,2459107.6091679987,648847286602583.5,1.3393007762402604,5981.646811000242,1.3727704226986042,29.405389649581583,0.22071282127524583,23.95178063532184,246.67362212388844
ZTF20abxyjtx,SN II,2459093.72783416,2343073767858894.0,0.7022483231298173,15617.819490927006,0.017739617371834455,0.29608794438293995,23.073248581133985,0.5858922479840116,1241.367669734027
ZTF20abxzrqw,SN Ia,2459097.7349528237,870492155445851.1,2.377667233560467,9051.74460877869,0.32722181623806323,0.06908173230280718,0.3953672166248494,0.05800211494073862,600.5897286874524
ZTF20abybeex,SN II,2459092.9414861742,1039388899380904.8,2.062504022229201,10158.224311131935,0.7545397535620094,0.9721926099305978,3.279924499631374,1.1269762389971472,974.7338215645987
ZTF20abydkrl,SN Ia,2459115.2859148346,630155658881385.9,0.547327622039539,6405.244666363895,7.196215964442055,42.53788383310729,0.16110795722285864,27.036915336957712,205.78833803571433
ZTF20abyfmjr,SN Ia,2459104.761983932,833940182031316.0,0.04842106980973643,9538.090837569322,11.889873428246865,0.23577300463737982,0.7732124129385802,0.1887158667366668,722.6006629350595
