id,type,MJD,FLT,FLUXCAL,FLUXCALERR,fp_fname
ZTF18aahqkbt,TDE,2458214.6707639,r,4491.629658282253,949.3946284389148,batchfp_req0000167801_lc.txt
ZTF18aahqkbt,TDE,2458214.6721759,r,3644.7945562309715,827.3332527236182,batchfp_req0000167801_lc.txt
ZTF18aahqkbt,TDE,2458217.6872454,r,4146.170593636307,859.2482963820762,batchfp_req0000167801_lc.txt
ZTF18aahqkbt,TDE,2458217.690787,r,8465.267547027599,1014.4114454803877,batchfp_req0000167801_lc.txt
ZTF18aakelin,TDE,2458954.8105903,g,228.23958478988473,69.1311687250599,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458955.8264583,g,216.27578958228958,61.555629809663415,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458955.8273727,g,261.8146363291057,68.64012895086236,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458955.8292014,g,296.9661444677356,69.15056147775313,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458956.7200579,g,257.20897851213846,74.88433065700015,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458956.7408796,g,212.48547960354014,68.3958470201476,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458956.7439583,g,313.94069305888013,59.19759137685507,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458956.8706019,g,421.61494799797686,76.07055840726099,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458962.7366435,g,334.0323465467026,71.57991480845952,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458962.8450926,g,242.65870872912797,77.01799076681638,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458962.8478125,g,452.7559325043949,74.45731772340886,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458962.8575579,g,436.8221829928967,74.36060809931054,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458963.7214699,g,499.4611942804181,73.83251649018302,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458963.7650231,g,258.8319831350434,58.578832060132754,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458963.7790741,g,326.1892937473319,60.95151486128503,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458963.7808912,g,559.5809887862342,61.45837845655988,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458963.7995023,g,453.6291774059856,62.914796202927434,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458963.819294,g,338.42879626571977,66.07151077839652,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458963.8211806,g,464.72762328245847,71.54426613735168,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458963.8449884,g,453.38747720585576,71.52187858035381,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458963.8464005,g,353.7820282577123,61.068792412899,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458963.8596875,g,446.71163983135426,73.51709293331156,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458963.8601736,g,472.7308127178548,68.2886353733732,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458963.8948727,g,576.2049575041316,64.9664733940869,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458964.8440856,g,351.1443699073355,63.89297650156817,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458964.8445602,g,540.1391537437781,64.93273270825993,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458964.8468519,g,484.313857388572,68.57969509666512,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458964.8726968,g,511.9858154004283,64.31586723141474,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458965.7342824,g,630.5801828433217,65.1415530024448,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458965.7375579,g,434.6586581056494,62.940127250395264,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458965.7621875,g,571.8565551703207,67.64165430511211,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458965.766794,g,521.7418953250893,60.825584115843824,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458965.7676968,g,262.8312264892267,56.14037301705292,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458966.7447917,g,386.72272290316033,85.10981290711071,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458966.7620139,g,536.2739482975398,172.79049306684425,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458966.7657407,g,586.9862719100175,136.8697068068006,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458966.9122685,g,663.2389515967336,69.54910882644413,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458967.7583449,g,321.287533405789,71.97886241706343,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458967.7597338,g,599.2641084971532,69.1128899650522,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458967.7847454,g,320.2141099636564,63.86019012011735,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458967.7860648,g,315.5769333282019,64.4571628015717,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458968.7534954,g,572.6992220571365,74.74978676221077,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458968.7824306,g,379.4916615832114,69.08989814040355,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458968.7857755,g,647.7660732212948,68.74701165023103,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458968.8051736,g,616.1953569780231,72.48121257767885,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458968.8061111,g,330.35101712810666,65.42559617351968,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458968.8079861,g,538.2657086569383,66.81903988853341,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458969.74125,g,512.2551061768709,75.57319979597605,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458969.7466551,g,853.389224400738,78.27501690597941,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458970.784375,g,581.1848864387626,99.55558865569007,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458970.78625,g,741.2714638235468,90.96578487770216,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458970.7881134,g,552.9849690659931,92.44981663908169,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458970.8051042,g,976.3561244952098,93.06836730470567,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458971.7875579,g,544.0088999655308,128.38248925636304,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458971.7884838,g,766.6183597363067,115.79762384322416,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458971.8023727,g,741.8411347478647,112.08597032068683,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458971.8033333,g,555.5250689318415,104.99358780951353,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458971.806169,g,799.2469930726046,124.38997930047786,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458972.7657639,g,1023.0532196306652,137.83316580214483,batchfp_req0000167821_lc.txt
ZTF18aakelin,TDE,2458972.7667361,g,653.5413348335899,135.28228338278262,batchfp_req0000167821_lc.txt
