id,type,MJD,FLT,FLUXCAL,FLUXCALERR
ZTF17aaazdba,TDE,2458505.8542361,r,25.08309240395,150.347366
ZTF17aaazdba,TDE,2458505.866412,r,-462.84296783224,122.715897
ZTF17aaazdba,TDE,2458505.8673264,r,163.10350902514,153.115601
ZTF17aaazdba,TDE,2458505.8794097,r,-153.83374481031,128.407288
ZTF17aaazdba,TDE,2458505.8803241,r,650.5966711568,174.303436
ZTF17aaazdba,TDE,2458505.8923264,r,-915.37395327706,220.1315
ZTF17aaazdba,TDE,2458505.8932407,r,904.02226174232,266.120514
ZTF17aaazdba,TDE,2458506.0167593,r,-892.32978056925,230.252045
ZTF17aaazdba,TDE,2458506.7609954,r,-44.40417815985,73.138031
ZTF17aaazdba,TDE,2458506.7628935,r,90.3788299406,90.608597
ZTF17aaazdba,TDE,2458506.7772801,r,185.20160570495,76.544708
ZTF17aaazdba,TDE,2458506.7791782,r,385.0268373072,70.027405
ZTF17aaazdba,TDE,2458506.7932176,r,-53.71466841259,72.141533
ZTF17aaazdba,TDE,2458506.7951389,r,75.65684503869,79.297783
ZTF17aaazdba,TDE,2458506.8093403,r,27.66083583972,66.666611
ZTF17aaazdba,TDE,2458506.8113079,r,118.72851053252,76.153511
ZTF17aaazdba,TDE,2458506.8263542,r,-102.18228356635,70.385384
ZTF17aaazdba,TDE,2458506.8284259,r,53.23336616738,77.041931
ZTF17aaazdba,TDE,2458506.8438889,r,-393.19734639985,60.049858
ZTF17aaazdba,TDE,2458506.8460301,r,200.39275316119,65.445351
ZTF17aaazdba,TDE,2458506.8615509,r,-41.7013933909,56.09697
ZTF17aaazdba,TDE,2458506.8636921,r,152.77879632355,66.39122
ZTF17aaazdba,TDE,2458506.8781713,r,-214.25969713112,59.518261
ZTF17aaazdba,TDE,2458506.8802083,r,70.2708577643,71.828094
ZTF17aaazdba,TDE,2458506.8945255,r,-31.25958804887,67.052628
ZTF17aaazdba,TDE,2458506.8964236,r,-36.6245502129,72.503792
ZTF17aaazdba,TDE,2458506.9106713,r,-168.95721151216,84.085411
ZTF17aaazdba,TDE,2458506.9125694,r,426.29998026847,99.020103
ZTF17aaazdba,TDE,2458506.9237963,r,161.64730527888,107.238335
ZTF17aaazdba,TDE,2458508.7398611,r,-196.16208257612,30.386629
ZTF17aaazdba,TDE,2458508.7858333,r,-153.19335723802,43.484436
ZTF17aaazdba,TDE,2458508.7862963,r,67.38795626512,52.80352
ZTF17aaazdba,TDE,2458508.7867477,r,401.83421326043,46.647438
ZTF17aaazdba,TDE,2458509.7865509,r,94.23608456913,46.503349
ZTF17aaazdba,TDE,2458511.7108796,r,6.88630347855,32.50388
ZTF17aaazdba,TDE,2458511.7128356,r,32.54764574942,24.557392
ZTF17aaazdba,TDE,2458511.713287,r,74.99133485078,28.652519
ZTF17aaazdba,TDE,2458511.7152431,r,8.35145737013,46.805115
ZTF17aaazdba,TDE,2458511.715706,r,91.43833260938,33.599224
ZTF17aaazdba,TDE,2458511.7176736,r,-31.76520024082,32.03664
ZTF17aaazdba,TDE,2458511.718125,r,146.81231085827,35.861217
ZTF17aaazdba,TDE,2458511.7200926,r,-262.17995821892,30.978216
ZTF17aaazdba,TDE,2458511.7205556,r,42.15735277284,31.897453
ZTF17aaazdba,TDE,2458511.7225231,r,-38.54917576221,27.464779
ZTF17aaazdba,TDE,2458511.7229745,r,131.78555085417,32.614693
ZTF17aaazdba,TDE,2458511.7249537,r,-164.39324060783,28.406893
ZTF17aaazdba,TDE,2458511.7273958,r,-201.77906738377,25.411205
ZTF17aaazdba,TDE,2458511.7278472,r,106.84101939323,30.174448
ZTF17aaazdba,TDE,2458511.729838,r,-257.96323874928,31.845963
ZTF17aaazdba,TDE,2458511.7302894,r,134.42883999058,32.09763
ZTF17aaazdba,TDE,2458511.7322917,r,-74.85019206593,28.904713
ZTF17aaazdba,TDE,2458511.7372106,r,-155.55869563807,30.727396
ZTF17aaazdba,TDE,2458511.7521991,r,-66.65732379144,25.896297
ZTF17aaazdba,TDE,2458511.7526505,r,76.00637985718,29.46759
ZTF17aaazdba,TDE,2458511.7547338,r,-215.10831132657,26.175951
ZTF17aaazdba,TDE,2458511.7637269,r,204.95206020916,26.983107
ZTF17aaazdba,TDE,2458511.7664236,r,-152.84392580108,21.244764
ZTF17aaazdba,TDE,2458511.766875,r,66.31503197424,25.0956
ZTF17aaazdba,TDE,2458511.7695949,r,-197.08235546821,20.329124
ZTF17aaazdba,TDE,2458511.7700463,r,150.2014178696,26.415754
ZTF17aaazdba,TDE,2458511.7727778,r,-120.77934068219,23.975622
ZTF17aaazdba,TDE,2458511.7732407,r,307.68482805501,28.47683
ZTF17aaazdba,TDE,2458511.7760069,r,-366.41235905173,20.848169
ZTF17aaazdba,TDE,2458511.7764583,r,171.19229095715,27.367105
ZTF17aaazdba,TDE,2458511.7792593,r,-222.03238053482,20.227602
ZTF17aaazdba,TDE,2458511.7797222,r,181.06987755602,25.874655
ZTF17aaazdba,TDE,2458511.7825463,r,-251.21506470814,20.75647
ZTF17aaazdba,TDE,2458511.7829977,r,249.27800550476,25.866583
ZTF17aaazdba,TDE,2458511.7858565,r,-258.67266452066,20.953999
ZTF17aaazdba,TDE,2458511.7863079,r,263.3669618028,25.78187
ZTF17aaazdba,TDE,2458511.7891667,r,-349.54089642617,20.600109
ZTF17aaazdba,TDE,2458511.7896181,r,110.0851423209,24.663296
ZTF17aaazdba,TDE,2458511.7924884,r,-315.55866176517,21.219065
ZTF17aaazdba,TDE,2458511.7929398,r,108.55837752037,30.177074
ZTF17aaazdba,TDE,2458511.7958449,r,-393.06972142689,23.434772
ZTF17aaazdba,TDE,2458511.7962963,r,234.6141884567,27.589708
ZTF17aaazdba,TDE,2458511.7995139,r,-266.90053868695,21.03566
ZTF17aaazdba,TDE,2458511.7999769,r,311.24636020925,26.853041
ZTF17aaazdba,TDE,2458511.8031134,r,-132.96768471756,20.265814
ZTF17aaazdba,TDE,2458511.8035648,r,-92.70234466037,26.411766
ZTF17aaazdba,TDE,2458511.806713,r,-171.917944036,22.812016
ZTF17aaazdba,TDE,2458511.8071644,r,174.04615302842,25.094116
ZTF17aaazdba,TDE,2458511.8139005,r,-271.23673576444,19.558182
ZTF17aaazdba,TDE,2458511.8143634,r,-20.96754301811,22.806557
ZTF17aaazdba,TDE,2458511.8175,r,-86.91171300958,19.930698
ZTF17aaazdba,TDE,2458511.8179514,r,247.28163226078,27.182354
ZTF17aaazdba,TDE,2458511.8210764,r,-135.74659606405,19.514589
ZTF17aaazdba,TDE,2458511.8215394,r,156.92598405957,24.89679
ZTF17aaazdba,TDE,2458511.8246412,r,-182.27884207803,21.141956
ZTF17aaazdba,TDE,2458511.8251042,r,72.93924973899,24.900305
